#miRNA	read_count	precursor	total	roq_bl3	roq_bl4	bognol_bl1	roq_bl1	bognol_bl4	bognol_bl3	roq_bl2	bognol_bl2	bognol_bl5	roq_bl6	bognol_bl6	roq_bl5	no_plant_15_bl2	no_plant_50_bl1	no_plant_50_bl2	no_plant_50_bl3	no_plant_15_bl4	no_plant_15_bl1	no_plant_15_bl3	no_plant_50_bl4	no_plant_15_bl5	no_plant_15_bl6	no_plant_50_bl6	no_plant_50_bl5	roq_bl3(norm)	roq_bl4(norm)	bognol_bl1(norm)	roq_bl1(norm)	bognol_bl4(norm)	bognol_bl3(norm)	roq_bl2(norm)	bognol_bl2(norm)	bognol_bl5(norm)	roq_bl6(norm)	bognol_bl6(norm)	roq_bl5(norm)	no_plant_15_bl2(norm)	no_plant_50_bl1(norm)	no_plant_50_bl2(norm)	no_plant_50_bl3(norm)	no_plant_15_bl4(norm)	no_plant_15_bl1(norm)	no_plant_15_bl3(norm)	no_plant_50_bl4(norm)	no_plant_15_bl5(norm)	no_plant_15_bl6(norm)	no_plant_50_bl6(norm)	no_plant_50_bl5(norm)
read104497_x10__NC_023752.2_1__777294..777314__777241..777314_plus_mature	25.00	read104497_x10__NC_023752.2_1__777294..777314__777241..777314_plus	25.00	0	5.00	3.00	1.00	1.00	3.00	6.00	4.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9487.67	4983.39	3412.97	1095.29	3764.12	7802.34	4424.78	2364.07	1579.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read1157_x193__NC_023753.2_31__4003891..4003910__4003871..4003910_minus_mature	1301.00	read1157_x193__NC_023753.2_31__4003891..4003910__4003871..4003910_minus	1301.00	20.00	108.00	62.00	43.00	63.00	78.00	9.00	27.00	36.00	156.00	57.00	103.00	0	24.00	127.00	37.00	1.00	0	4.00	52.00	5.00	0	259.00	30.00	113636.36	204933.59	102990.03	146757.68	69003.29	97867.00	11703.51	29867.26	85106.38	246445.50	202846.98	92459.61	0	296296.30	312039.31	291338.58	5494.51	0	37037.04	288888.89	54347.83	0	332051.28	258620.69
read121504_x9__NC_023753.2_18__29435013..29435032__29435013..29435097_plus_mature	25.00	read121504_x9__NC_023753.2_18__29435013..29435032__29435013..29435097_plus	25.00	1.00	1.00	0	1.00	3.00	0	6.00	5.00	2.00	0	0	6.00	0	0	0	0	0	0	0	0	0	0	0	0	5681.82	1897.53	0	3412.97	3285.87	0	7802.34	5530.97	4728.13	0	0	5386.00	0	0	0	0	0	0	0	0	0	0	0	0
read121504_x9__NC_023753.2_20__30700993..30701012__30700993..30701060_plus_mature	40.00	read121504_x9__NC_023753.2_20__30700993..30701012__30700993..30701060_plus	40.00	1.00	1.00	0	1.00	6.00	0	7.00	6.00	8.00	0	0	10.00	0	0	0	0	0	0	0	0	0	0	0	0	5681.82	1897.53	0	3412.97	6571.74	0	9102.73	6637.17	18912.53	0	0	8976.66	0	0	0	0	0	0	0	0	0	0	0	0
read121504_x9__NC_023753.2_8__5544507..5544526__5544507..5544577_plus_mature	30.00	read121504_x9__NC_023753.2_8__5544507..5544526__5544507..5544577_plus	30.00	1.00	1.00	0	1.00	3.00	1.00	6.00	5.00	3.00	0	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	5681.82	1897.53	0	3412.97	3285.87	1254.71	7802.34	5530.97	7092.20	0	0	8078.99	0	0	0	0	0	0	0	0	0	0	0	0
read121504_x9__NC_023759.2_12__40608390..40608409__40608390..40608473_plus_mature	25.00	read121504_x9__NC_023759.2_12__40608390..40608409__40608390..40608473_plus	25.00	1.00	1.00	0	1.00	3.00	0	6.00	5.00	2.00	0	0	6.00	0	0	0	0	0	0	0	0	0	0	0	0	5681.82	1897.53	0	3412.97	3285.87	0	7802.34	5530.97	4728.13	0	0	5386.00	0	0	0	0	0	0	0	0	0	0	0	0
read134553_x8__NC_023758.2_11__26145341..26145361__26145341..26145430_plus_mature	34.00	read134553_x8__NC_023758.2_11__26145341..26145361__26145341..26145430_plus	34.00	0	0	2.00	3.00	11.00	0	6.00	1.00	3.00	1.00	3.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3322.26	10238.91	12048.19	0	7802.34	1106.19	7092.20	1579.78	10676.16	3590.66	0	0	0	0	0	0	0	0	0	0	0	0
read1432_x327__NC_023752.2_5__38548671..38548690__38548671..38548933_minus_mature	436.00	read1432_x327__NC_023752.2_5__38548671..38548690__38548671..38548933_minus	436.00	0	9.00	3.00	0	9.00	0	4.00	6.00	1.00	1.00	0	1.00	154.00	1.00	0	0	103.00	27.00	69.00	2.00	39.00	1.00	1.00	5.00	0	17077.80	4983.39	0	9857.61	0	5201.56	6637.17	2364.07	1579.78	0	897.67	611111.11	12345.68	0	0	565934.07	415384.62	638888.89	11111.11	423913.04	166666.67	1282.05	43103.45
read1451_x325__NC_023753.2_11__4003891..4003910__4003871..4003910_minus_mature	1301.00	read1451_x325__NC_023753.2_11__4003891..4003910__4003871..4003910_minus	1301.00	20.00	108.00	62.00	43.00	63.00	78.00	9.00	27.00	36.00	156.00	57.00	103.00	0	24.00	127.00	37.00	1.00	0	4.00	52.00	5.00	0	259.00	30.00	113636.36	204933.59	102990.03	146757.68	69003.29	97867.00	11703.51	29867.26	85106.38	246445.50	202846.98	92459.61	0	296296.30	312039.31	291338.58	5494.51	0	37037.04	288888.89	54347.83	0	332051.28	258620.69
read1453016_x2__NC_023752.2_16__62077499..62077519__62077499..62077583_minus_mature	2.00	read1453016_x2__NC_023752.2_16__62077499..62077519__62077499..62077583_minus	2.00	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3159.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
