#miRNA	read_count	precursor	total	gold_bl1	gold_bl2	gold_bl3	gold_bl6	gold_bl5	art_bl1	gold_bl4	art_bl6	no_plant_15_bl2	no_plant_50_bl1	art_bl4	no_plant_50_bl2	no_plant_50_bl3	art_bl5	no_plant_15_bl4	no_plant_15_bl1	art_bl2	art_bl3	no_plant_15_bl3	no_plant_50_bl4	no_plant_15_bl5	no_plant_15_bl6	no_plant_50_bl6	no_plant_50_bl5	gold_bl1(norm)	gold_bl2(norm)	gold_bl3(norm)	gold_bl6(norm)	gold_bl5(norm)	art_bl1(norm)	gold_bl4(norm)	art_bl6(norm)	no_plant_15_bl2(norm)	no_plant_50_bl1(norm)	art_bl4(norm)	no_plant_50_bl2(norm)	no_plant_50_bl3(norm)	art_bl5(norm)	no_plant_15_bl4(norm)	no_plant_15_bl1(norm)	art_bl2(norm)	art_bl3(norm)	no_plant_15_bl3(norm)	no_plant_50_bl4(norm)	no_plant_15_bl5(norm)	no_plant_15_bl6(norm)	no_plant_50_bl6(norm)	no_plant_50_bl5(norm)
read107691_x10__NC_050099.1_28__247815889..247815909__247815843..247815909_minus_mature	42.00	read107691_x10__NC_050099.1_28__247815889..247815909__247815843..247815909_minus	42.00	0	0	14.00	3.00	0	0	9.00	4.00	0	0	3.00	0	0	2.00	0	0	1.00	6.00	0	0	0	0	0	0	0	0	37634.41	16853.93	0	0	18750.00	9950.25	0	0	10067.11	0	0	8264.46	0	0	4854.37	22988.51	0	0	0	0	0	0
read107691_x10__NC_050100.1_42__76381915..76381935__76381869..76381935_minus_mature	42.00	read107691_x10__NC_050100.1_42__76381915..76381935__76381869..76381935_minus	42.00	0	0	14.00	3.00	0	0	9.00	4.00	0	0	3.00	0	0	2.00	0	0	1.00	6.00	0	0	0	0	0	0	0	0	37634.41	16853.93	0	0	18750.00	9950.25	0	0	10067.11	0	0	8264.46	0	0	4854.37	22988.51	0	0	0	0	0	0
read1078_x210__NC_050097.1_12__234846036..234846056__234846036..234846309_plus_mature	818.00	read1078_x210__NC_050097.1_12__234846036..234846056__234846036..234846309_plus	818.00	2.00	26.00	32.00	36.00	16.00	16.00	75.00	266.00	0	12.00	87.00	6.00	13.00	59.00	5.00	1.00	17.00	93.00	1.00	33.00	1.00	0	14.00	7.00	12195.12	285714.29	86021.51	202247.19	258064.52	168421.05	156250.00	661691.54	0	352941.18	291946.31	103448.28	288888.89	243801.65	17006.80	8000.00	82524.27	356321.84	7142.86	417721.52	7042.25	0	777777.78	140000.00
read1091932_x2__NC_050098.1_28__7690280..7690300__7690280..7690521_minus_mature	13.00	read1091932_x2__NC_050098.1_28__7690280..7690300__7690280..7690521_minus	13.00	1.00	0	3.00	0	0	0	4.00	0	0	0	1.00	0	0	1.00	0	0	2.00	1.00	0	0	0	0	0	0	6097.56	0	8064.52	0	0	0	8333.33	0	0	0	3355.70	0	0	4132.23	0	0	9708.74	3831.42	0	0	0	0	0	0
read1091932_x2__NC_050100.1_37__94479656..94479676__94479589..94479676_minus_mature	13.00	read1091932_x2__NC_050100.1_37__94479656..94479676__94479589..94479676_minus	13.00	1.00	0	3.00	0	0	0	4.00	0	0	0	1.00	0	0	1.00	0	0	2.00	1.00	0	0	0	0	0	0	6097.56	0	8064.52	0	0	0	8333.33	0	0	0	3355.70	0	0	4132.23	0	0	9708.74	3831.42	0	0	0	0	0	0
read1091932_x2__NC_050101.1_21__106015415..106015435__106015348..106015435_minus_mature	4.00	read1091932_x2__NC_050101.1_21__106015415..106015435__106015348..106015435_minus	4.00	0	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	4166.67	0	0	0	3355.70	0	0	0	0	0	4854.37	0	0	0	0	0	0	0
read1375063_x2__NC_050098.1_31__7690500..7690521__7690280..7690521_minus_mature	8.00	read1375063_x2__NC_050098.1_31__7690500..7690521__7690280..7690521_minus	8.00	1.00	1.00	0	0	0	0	1.00	1.00	0	0	0	0	0	3.00	0	0	0	1.00	0	0	0	0	0	0	6097.56	10989.01	0	0	0	0	2083.33	2487.56	0	0	0	0	0	12396.69	0	0	0	3831.42	0	0	0	0	0	0
read147232_x7__NC_050096.1_18__294538103..294538123__294538025..294538123_minus_mature	22.00	read147232_x7__NC_050096.1_18__294538103..294538123__294538025..294538123_minus	22.00	3.00	0	3.00	3.00	0	0	0	2.00	0	0	1.00	0	0	3.00	0	0	2.00	5.00	0	0	0	0	0	0	18292.68	0	8064.52	16853.93	0	0	0	4975.12	0	0	3355.70	0	0	12396.69	0	0	9708.74	19157.09	0	0	0	0	0	0
read147232_x7__NC_050096.1_2__12699696..12699716__12699696..12699802_plus_mature	32.00	read147232_x7__NC_050096.1_2__12699696..12699716__12699696..12699802_plus	32.00	0	0	10.00	4.00	1.00	0	0	4.00	0	0	1.00	0	0	3.00	0	0	2.00	7.00	0	0	0	0	0	0	0	0	26881.72	22471.91	16129.03	0	0	9950.25	0	0	3355.70	0	0	12396.69	0	0	9708.74	26819.92	0	0	0	0	0	0
read147232_x7__NC_050098.1_10__120492507..120492527__120492507..120492712_plus_mature	29.00	read147232_x7__NC_050098.1_10__120492507..120492527__120492507..120492712_plus	29.00	0	0	10.00	4.00	0	0	0	4.00	0	0	1.00	0	0	3.00	0	0	2.00	5.00	0	0	0	0	0	0	0	0	26881.72	22471.91	0	0	0	9950.25	0	0	3355.70	0	0	12396.69	0	0	9708.74	19157.09	0	0	0	0	0	0
